sample_id,site_id,site_name,period_code,period_desc,botanical,flotation,longitude,latitude
97,54,Rojdi,H(C),specific to Rojdi - 2000-1700BC,1,1,70.9189,21.8631
98,55,Rupar,H,"Harappan, period undefined - 3200-1500BC",1,0,76.53333333,30.96666667
99,56,Sanghol,LH,Late harappan - 1900-1500BC,1,0,76.3892,30.7837
100,57,Sanauli,LH,Late harappan - 1900-1500BC,1,0,77.2169,29.1411
102,58,Shikarpur,MH,Mature Harappan - 2500-1900BC,1,1,70.6771,23.2376
101,58,Shikarpur,H,"Harappan, period undefined - 3200-1500BC",1,1,70.6771,23.2376
104,59,Shortughai,MH,Mature Harappan - 2500-1900BC,1,1,69.5,37.3
105,59,Shortughai,MH-LH,less well defined transition between MH and LH,1,1,69.5,37.3
103,59,Shortughai,LH,Late harappan - 1900-1500BC,1,1,69.5,37.3
107,60,Surkotada,MH,Mature Harappan - 2500-1900BC,1,0,70.9173,23.6113
106,60,Surkotada,LH,Late harappan - 1900-1500BC,1,0,70.9173,23.6113
108,61,Tarakai Qila,EH,Early Harappan - 3200-2500BC,1,1,70.3833,32.9167
109,62,Un,LH,Late harappan - 1900-1500BC,1,0,77.25,29.58333333
110,63,Vaharvo Timbo,EH,Early Harappan - 3200-2500BC,1,1,71.33333,23.6667
